DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality
20130611,,,,,,,,,,,16.0,1.60099995136,30.0,0.0,9.0,0.0,34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130612,,,,,,,,,,,5875.0,441.500999451,9574.0,25260.0,1006.0,7500.0,11687.0,0.0,0.0,,,,,,,,,,,,118.0,1834.0,457.0,1.0,107.0,4151.0,19921.0,15770.0,52.0
20130613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4311.0,334.168998688,7123.0,28560.0,961.0,12660.0,8609.0,0.0,0.0,,,,,,,,,,,,122.0,1497.0,471.0,1.0,111.0,4380.0,20560.0,16180.0,54.0
20130614,,,,,,,,,,,4915.0,378.170999639,8010.0,27840.0,818.0,8820.0,9768.0,0.0,0.0,,,,,,,,,,,,182.0,6928.0,392.0,2.0,142.0,2520.0,8162.0,5642.0,24.0
20130615,,,,,,,,,,,6962.0,463.056999065,10626.0,26340.0,1837.0,7380.0,13200.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130616,,,,,,,,,,,12024.0,851.751995906,18801.0,21060.0,1285.0,5160.0,23209.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130617,,,,,,,,,,,4802.0,381.572997674,8026.0,29040.0,774.0,7200.0,9661.0,0.0,0.0,,,,,,,,,,,,207.0,3104.0,426.0,1.0,196.0,1861.0,10836.0,8975.0,27.0
20130618,,,,,,,,,,,2652.0,237.394997954,4739.0,29340.0,700.0,7320.0,5587.0,0.0,0.0,373.0,1650.0,427.0,0.0,347.0,600.0,3240.0,2640.0,6.0,,,11.0,555.0,347.0,1.0,7.0,2700.0,19852.0,17152.0,53.0
20130619,,,,,,,,,,,2767.0,243.047998823,4894.0,29160.0,678.0,14700.0,5757.0,0.0,0.0,1108.0,1057.0,1142.0,1.0,1102.0,1360.0,1360.0,0.0,4.0,,,196.0,4231.0,465.0,1.0,165.0,3060.0,15846.0,12786.0,40.0
20130620,,,,,,,,,,,6640.0,495.421999738,10863.0,25560.0,897.0,5460.0,13228.0,0.0,0.0,,,,,,,,,,,,141.0,1596.0,450.0,1.0,130.0,2280.0,17845.0,15565.0,43.0
20130622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.0,5422.0,696.0,2.0,411.0,4920.0,14356.0,9436.0,36.0
20130623,,,,,,,,,,,7348.0,497.002999008,11202.0,27300.0,2389.0,10560.0,13903.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130624,,,,,,,,,,,2618.0,216.054999292,4440.0,28980.0,691.0,11880.0,5336.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130625,,,,,,,,,,,4251.0,356.238000058,7282.0,28980.0,725.0,5460.0,8614.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130626,,,,,,,,,,,4671.0,370.825000376,7776.0,26700.0,779.0,5220.0,9312.0,0.0,0.0,,,,,,,,,,,,29.0,3577.0,298.0,2.0,18.0,1860.0,13818.0,11958.0,35.0
20130627,,,,,,,,,,,3892.0,306.278999984,6616.0,27180.0,766.0,7200.0,7956.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130628,,,,,,,,,,,4613.0,390.604998685,8034.0,26700.0,1254.0,8460.0,9499.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130629,,,,,,,,,,,7120.0,503.600999013,11333.0,26520.0,1224.0,10560.0,13882.0,0.0,0.0,,,,,,,,,,,,79.0,3502.0,452.0,1.0,32.0,3780.0,21960.0,18180.0,56.0
20130630,,,,,,,,,,,9590.0,649.706000134,14673.0,22320.0,1107.0,13500.0,18244.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
20130701,244.0,593.600006104,100.238005981,59.4000005722,1.52000002265,19.7120001793,4.56960001183,689.599998474,71.9499987793,7.62280006218,4686.0,329.572999068,7372.0,29580.0,656.0,8820.0,9089.0,0.0,0.0,,,,,,,,,,,,89.0,2746.0,538.0,2.0,78.0,3960.0,25016.0,21056.0,63.0
20130702,,,,,,,,,,,7715.0,613.118998528,12993.0,26160.0,2747.0,7620.0,15646.0,0.0,0.0,,,,,,,,,,,,138.0,1255.0,392.0,0.0,122.0,4380.0,15120.0,10740.0,44.0
20130703,,,,,,,,,,,5697.0,465.449999869,9741.0,26760.0,1230.0,4800.0,11612.0,0.0,0.0,,,,,,,,,,,,129.0,1364.0,383.0,2.0,123.0,3180.0,14278.0,11098.0,39.0
20130704,,,,,,,,,,,9145.0,656.294998169,14704.0,26280.0,2916.0,10800.0,17921.0,0.0,0.0,485.0,1307.0,634.0,0.0,464.0,9101.0,9101.0,0.0,33.0,,,139.0,1562.0,298.0,0.0,113.0,2100.0,9823.0,7723.0,27.0
20130705,,,,,,,,,,,8438.0,602.893000446,13432.0,15540.0,2923.0,1560.0,16469.0,0.0,0.0,,,,,,,,,,,,1348.0,1312.0,237.0,0.0,1327.0,2101.0,19796.0,17695.0,50.0
20130706,,,,,,,,,,,7910.0,628.695996784,13163.0,32400.0,1897.0,32400.0,15890.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
